eis2,65.30.116.72,EIS,4852868.4852868.4852864 0,TWGS,No,No,Thu Feb 23 01:17:11 2006
eis2,65.30.116.72,Epic Interactive Strategy,4852604.1.4(null),TWGS,No,No,Fri Feb 24 00:17:18 2006
eis2,65.30.116.72,Epic Interactive Strategy,4852604.1.4(null),TWGS,No,No,Fri Feb 24 00:24:43 2006
eis2,65.30.116.72,Epic Interactive Strategy,4852592.1.4(null),TWGS,No,No,Fri Feb 24 00:25:33 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 00:56:45 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,Unknown,No,No,Sun Feb 26 01:02:28 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,Unknown,No,No,Sun Feb 26 01:03:01 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:02:32 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:07:57 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:16:33 2006,Testing
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:17:23 2006,Testing
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:22:41 2006,Testing
BECKERMAN_NEW,192.168.1.100,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Mar 14 22:47:08 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Mar 26 23:17:26 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Mar 26 23:17:26 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Mar 26 23:59:34 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Mar 27 00:02:01 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Mar 27 00:02:13 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Mar 27 00:02:27 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Mar 29 00:49:49 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Mar 29 00:52:15 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Mar 29 01:02:41 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 03 22:08:14 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 00:15:25 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:13:41 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:17:05 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:21:57 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:24:17 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:26:00 2006,Testing
